2020-12-02 00:39:31 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 00:39:31 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 00:46:29 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 00:46:29 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 00:46:29 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 00:46:29 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 00:46:47 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 00:46:47 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 00:46:47 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 00:46:47 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 00:47:05 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 00:47:05 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 00:47:05 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 00:47:05 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 00:52:58 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 00:52:58 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 00:52:58 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 00:52:58 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 00:53:02 | FUNC:Processor | UNIT: 6101 | TEXT: получили команду на исполнение
2020-12-02 00:53:02 | FUNC:Processor | UNIT: 6101 | TEXT: Unarchive src:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/res/kodConfig.zip|dst:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6101/kod
2020-12-02 00:53:02 | FUNC:Processor | UNIT: 6101 | TEXT: Пришла команда
2020-12-02 01:03:44 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 01:03:44 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 01:03:44 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 01:03:44 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 01:04:03 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 01:04:04 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 01:04:04 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 01:04:04 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 01:04:39 | FUNC:Processor | UNIT: 6101 | TEXT: получили команду на исполнение
2020-12-02 01:04:39 | FUNC:Processor | UNIT: 6101 | TEXT: Unarchive src:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/res/kodConfig.zip|dst:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6101/kod
2020-12-02 01:04:39 | FUNC:Processor | UNIT: 6101 | TEXT: Unrchive: SUCCESS
2020-12-02 01:04:39 | FUNC:Processor | UNIT: 6101 | TEXT: Пришла команда
2020-12-02 01:05:28 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 01:05:28 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 01:05:28 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 01:05:28 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 01:05:31 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 01:05:31 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 01:05:31 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 01:05:31 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 01:05:35 | FUNC:Processor | UNIT: 6099 | TEXT: получили команду на исполнение
2020-12-02 01:05:35 | FUNC:Processor | UNIT: 6099 | TEXT: Unarchive src:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/res/kodConfig.zip|dst:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6099/kod
2020-12-02 01:05:35 | FUNC:Processor | UNIT: 6099 | TEXT: Unrchive: SUCCESS
2020-12-02 01:06:13 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 01:06:13 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 01:06:13 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 01:06:13 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 01:06:15 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 01:06:16 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 01:06:16 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 01:06:16 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 01:06:27 | FUNC:Processor | UNIT: 6099 | TEXT: получили команду на исполнение
2020-12-02 01:06:27 | FUNC:Processor | UNIT: 6099 | TEXT: Unarchive src:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/res/kodConfig.zip|dst:/home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6099/kod
2020-12-02 01:06:27 | FUNC:Processor | UNIT: 6099 | TEXT: Unrchive: SUCCESS
2020-12-02 01:17:42 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 01:17:42 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 01:17:42 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 01:17:42 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 01:17:45 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 01:17:45 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 01:17:45 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 01:17:45 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 01:18:58 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 01:18:58 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 01:18:58 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 01:18:58 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 01:19:00 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 01:19:00 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 01:19:00 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 01:19:00 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 01:19:39 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 01:19:39 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 01:19:39 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 01:19:39 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 01:19:41 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 01:19:41 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 01:19:41 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 01:19:41 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 15:27:03 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 15:27:03 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 15:27:03 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 15:27:03 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 15:40:37 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 15:40:37 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 15:40:37 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 15:40:37 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 15:47:23 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 15:47:23 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 15:47:23 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 15:47:23 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 15:48:33 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 15:48:33 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 15:48:33 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 15:48:33 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 15:50:03 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 15:50:03 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 15:50:03 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 15:50:03 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 15:50:28 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 15:50:28 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 15:50:28 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 15:50:28 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 16:42:38 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 16:42:38 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 16:42:38 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 16:42:38 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 16:44:24 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 16:44:24 | FUNC:Processor | UNIT: nil | TEXT: CheckMkdir:mkdir : no such file or directory
2020-12-02 16:44:24 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 16:44:24 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 16:44:24 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 16:47:33 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 16:47:33 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 16:47:33 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 16:47:33 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 17:34:22 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 17:34:22 | FUNC:Processor | UNIT: nil | TEXT: CheckMkdir:mkdir : no such file or directory
2020-12-02 17:34:22 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 17:34:22 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 17:34:22 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-03 21:48:59 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-03 21:48:59 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-03 21:48:59 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-03 21:48:59 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-06 13:24:01 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-06 13:24:01 | FUNC:Processor | UNIT: nil | TEXT: CheckMkdir:mkdir : no such file or directory
2020-12-06 13:24:01 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-06 13:24:01 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-06 13:24:01 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-06 23:36:38 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-06 23:36:38 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-06 23:36:38 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-06 23:36:38 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
